5-folds_CV_mean
,0,1,2,3,4,5,6,7,8,9,balanced accuracy,macro avg,weighted avg
precision,1.0,0.979,1.0,0.995,0.984,0.968,0.984,0.984,0.967,0.967,0.982,0.983,0.983
recall,0.994,0.994,1.0,0.972,0.978,0.973,0.983,0.994,0.96,0.972,0.982,0.982,0.982
f1-score,0.997,0.987,1.0,0.983,0.98,0.97,0.984,0.989,0.963,0.969,0.982,0.982,0.982
sample size,35.6,36.4,35.4,36.6,36.2,36.4,36.2,35.8,34.8,36.0,0.982,359.4,359.4
""
5-fold_CV_std
,0,1,2,3,4,5,6,7,8,9,balanced accuracy,macro avg,weighted avg
precision,0.0,0.022,0.0,0.012,0.015,0.022,0.035,0.024,0.045,0.012,0.004,0.004,0.004
recall,0.013,0.013,0.0,0.034,0.036,0.019,0.015,0.013,0.033,0.034,0.004,0.004,0.004
f1-score,0.006,0.01,0.0,0.016,0.016,0.006,0.022,0.011,0.029,0.018,0.004,0.004,0.004
sample size,0.548,0.548,0.548,0.548,0.447,0.548,0.447,0.447,0.447,0.0,0.004,0.548,0.548
""
fold#0
,0,1,2,3,4,5,6,7,8,9,balanced accuracy,macro avg,weighted avg
precision,1.0,0.947,1.0,1.0,0.973,0.972,1.0,1.0,0.917,0.973,0.978,0.978,0.978
recall,1.0,1.0,1.0,0.917,0.973,0.972,0.972,1.0,0.943,1.0,0.978,0.978,0.978
f1-score,1.0,0.973,1.0,0.957,0.973,0.972,0.986,1.0,0.93,0.986,0.978,0.978,0.978
sample size,36.0,36.0,36.0,36.0,37.0,36.0,36.0,36.0,35.0,36.0,0.978,360.0,360.0
""
fold#1
,0,1,2,3,4,5,6,7,8,9,balanced accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,1.0,0.973,0.921,0.947,1.0,0.973,0.981,0.981,0.981
recall,1.0,0.972,1.0,0.972,0.917,0.973,0.972,1.0,1.0,1.0,0.981,0.981,0.981
f1-score,1.0,0.986,1.0,0.986,0.957,0.973,0.946,0.973,1.0,0.986,0.981,0.981,0.981
sample size,36.0,36.0,36.0,36.0,36.0,37.0,36.0,36.0,35.0,36.0,0.981,360.0,360.0
""
fold#2
,0,1,2,3,4,5,6,7,8,9,balanced accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,0.973,1.0,1.0,0.973,1.0,0.946,0.989,0.989,0.989
recall,1.0,1.0,1.0,1.0,1.0,0.946,1.0,1.0,0.971,0.972,0.989,0.989,0.989
f1-score,1.0,1.0,1.0,1.0,0.986,0.972,1.0,0.986,0.985,0.959,0.989,0.989,0.989
sample size,36.0,36.0,35.0,37.0,36.0,37.0,36.0,36.0,34.0,36.0,0.989,359.0,359.0
""
fold#3
,0,1,2,3,4,5,6,7,8,9,balanced accuracy,macro avg,weighted avg
precision,1.0,0.974,1.0,0.974,0.973,0.946,1.0,1.0,1.0,0.972,0.983,0.984,0.984
recall,0.971,1.0,1.0,1.0,1.0,0.972,1.0,1.0,0.914,0.972,0.983,0.983,0.983
f1-score,0.986,0.987,1.0,0.987,0.986,0.959,1.0,1.0,0.955,0.972,0.983,0.983,0.983
sample size,35.0,37.0,35.0,37.0,36.0,36.0,37.0,35.0,35.0,36.0,0.983,359.0,359.0
""
fold#4
,0,1,2,3,4,5,6,7,8,9,balanced accuracy,macro avg,weighted avg
precision,1.0,0.974,1.0,1.0,1.0,0.947,1.0,1.0,0.919,0.971,0.981,0.981,0.981
recall,1.0,1.0,1.0,0.973,1.0,1.0,0.972,0.972,0.971,0.917,0.981,0.981,0.981
f1-score,1.0,0.987,1.0,0.986,1.0,0.973,0.986,0.986,0.944,0.943,0.981,0.981,0.981
sample size,35.0,37.0,35.0,37.0,36.0,36.0,36.0,36.0,35.0,36.0,0.981,359.0,359.0
""
