5-folds_CV_mean
,0,1,2
0,0.74,0.307,0.509
1,0.504,0.524,0.696
2,0.594,0.507,0.682
3,0.45,0.494,0.611
4,0.48,0.412,0.409
""
5-fold_CV_std
,0,1,2
0,0.19,0.253,0.392
1,0.395,0.36,0.2
2,0.214,0.183,0.207
3,0.191,0.199,0.398
4,0.416,0.328,0.239
""
fold#0
,0,1,2
0,0.802,0.339,0.815
1,0.08,0.895,0.548
2,0.817,0.452,0.644
3,0.526,0.732,0.082
4,0.06,0.247,0.16
""
fold#1
,0,1,2
0,0.872,0.219,0.976
1,0.337,0.182,0.79
2,0.659,0.498,0.555
3,0.719,0.228,0.996
4,0.975,0.65,0.2
""
fold#2
,0,1,2
0,0.68,0.072,0.031
1,0.258,0.463,0.868
2,0.727,0.743,0.425
3,0.346,0.371,0.988
4,0.04,0.867,0.579
""
fold#3
,0,1,2
0,0.439,0.725,0.487
1,0.873,0.901,0.422
2,0.277,0.592,0.912
3,0.211,0.623,0.632
4,0.733,0.132,0.716
""
fold#4
,0,1,2
0,0.909,0.18,0.238
1,0.971,0.181,0.854
2,0.492,0.247,0.871
3,0.445,0.515,0.359
4,0.593,0.164,0.391
""
